Ticker,CNN-GARCH_QLIKE,CNN-GARCH_RMSE,CNN-GARCH_R2,"GARCH(1,1)-t_QLIKE","EGARCH(1,1)-t_QLIKE","GJR-GARCH(1,1)-t_QLIKE",HAR-RV_QLIKE
RELIANCE_NS,0.4819,0.1623,-0.1682,0.5549835376859789,0.5448926583760255,0.5538259562303696,0.4715926060197277
AAPL,0.5112,0.1691,-0.1943,0.5244602546173536,0.519983264997566,0.5328073216237378,0.4662488893510291
