Ticker,HAR_QLIKE,CNN_QLIKE_1d,CNN_QLIKE_5d,CNN_RMSE_1d,CNN_MAE_1d,CNN_R2_1d,Improvement_%,Beat_Baseline,Best_Epoch,Train_Time_s
RELIANCE_NS,0.4716,0.4819,0.1556,0.1623,0.1218,-0.1682,-2.2,NO,6,8.2
AAPL,0.4662,0.5112,0.1152,0.1691,0.1258,-0.1943,-9.7,NO,25,14.9
