Ticker,Model,RMSE,MAE,QLIKE,R2,AIC,BIC,Time_s,Best
AAPL,"GARCH(1,1)-t",0.17862297803703098,0.14566524734154424,0.5244602546173536,-0.37423945314555307,3986.527437223856,4010.9855667091174,0.6,
AAPL,"EGARCH(1,1)-t",0.17618158132611686,0.1430571376403183,0.519983264997566,-0.336930307139937,3988.9929696737236,4013.451099158985,0.5,
AAPL,"GJR-GARCH(1,1)-t",0.1808138761376547,0.149066378558669,0.5328073216237378,-0.4081576334563066,3983.0587250537146,4012.408480436028,0.6,
AAPL,HAR-RV,0.15738647194713423,0.11745913866003535,0.4662488893510291,-0.06689716562570536,,,0.6,*
AMZN,"GARCH(1,1)-t",0.2052623248468929,0.16391649789204443,0.46950963499239984,-0.1801771298849646,4329.245345988344,4353.703475473605,0.7,
AMZN,"EGARCH(1,1)-t",0.21086821977872336,0.1687745593989589,0.48062635338751347,-0.24552075973961363,4318.9208133787015,4343.378942863963,0.5,
AMZN,"GJR-GARCH(1,1)-t",0.20468242811202192,0.16131197411489048,0.4637539632546554,-0.17351819600020124,4325.538403358811,4354.888158741124,0.8,
AMZN,HAR-RV,0.18983004166432074,0.13997536355810056,0.42501613368476493,-0.009389060101205882,,,0.5,*
ASML,"GARCH(1,1)-t",0.35151020491304896,0.2561804391042556,0.5504845499874687,-0.11906065153209267,4602.0113996481605,4626.469529133422,0.6,
ASML,"EGARCH(1,1)-t",0.34612129673158426,0.25141564971669,0.5423878098013004,-0.08501163152420088,4599.922780487752,4624.380909973013,0.5,
ASML,"GJR-GARCH(1,1)-t",0.35162764835444044,0.25342087231901717,0.5462132057500603,-0.1198085574972636,4583.453611440904,4612.803366823217,0.8,
ASML,HAR-RV,0.3334003968382866,0.22094784038612375,0.519490130472066,-0.0067229623272930805,,,0.6,*
AVGO,"GARCH(1,1)-t",0.4343276255174835,0.3106558957402181,0.5572708910650098,-0.2693023397994645,4209.234289494598,4233.692418979859,0.5,
AVGO,"EGARCH(1,1)-t",0.4172720211749072,0.2995686516038378,0.5467782907040367,-0.17157124618499386,4209.109336301798,4233.5674657870595,0.5,
AVGO,"GJR-GARCH(1,1)-t",0.4228423196867667,0.3020817536981807,0.5526387882796,-0.20305938861233042,4204.18927584049,4233.539031222804,0.7,
AVGO,HAR-RV,0.3785679364938437,0.2467344288196028,0.5161347831523112,0.03568742768484057,,,0.5,*
BAJFINANCE_NS,"GARCH(1,1)-t",0.2133104488572745,0.17882874479945124,0.6500703073701805,-0.39853954253421997,4148.119419758908,4172.505900116395,0.7,
BAJFINANCE_NS,"EGARCH(1,1)-t",0.22070784207975147,0.18759648903545098,0.6653040329390615,-0.49722138024803963,4147.87047371493,4172.256954072417,0.6,
BAJFINANCE_NS,"GJR-GARCH(1,1)-t",0.2256659288712131,0.1927953772637722,0.6773499810452526,-0.5652455552419045,4131.972633950063,4161.236410379048,0.8,
BAJFINANCE_NS,HAR-RV,0.1852614715420113,0.13931272580004989,0.5773632164825936,-0.054922875164300056,,,0.5,*
BHARTIARTL_NS,"GARCH(1,1)-t",0.17819237023420892,0.14519940761700406,0.6554674314050137,-0.20517947613190812,3673.932715917708,3698.319196275195,0.6,
BHARTIARTL_NS,"EGARCH(1,1)-t",0.17498328262773366,0.1431681961384063,0.6490559334712585,-0.16216190873932956,3673.73092986217,3698.117410219657,0.5,
BHARTIARTL_NS,"GJR-GARCH(1,1)-t",0.17785139424206922,0.14461882452826566,0.6538390491578304,-0.2005716009779983,3671.6849421002803,3700.948718529265,0.7,
BHARTIARTL_NS,HAR-RV,0.16957060800019924,0.12955753065439404,0.6373143462896305,-0.09137668694891121,,,0.6,*
COST,"GARCH(1,1)-t",0.15061889258924085,0.11731312957591533,0.4887230225048676,-0.36082951461695045,3415.626266657407,3440.0843961426685,0.6,
COST,"EGARCH(1,1)-t",0.15105489460582006,0.11808946567145973,0.4924253848430523,-0.36871940361183997,3414.6298557631094,3439.087985248371,0.5,
COST,"GJR-GARCH(1,1)-t",0.14947871500001225,0.11534194327455169,0.48464727923560824,-0.34030467116571494,3415.7003539901243,3445.050109372438,0.6,
COST,HAR-RV,0.13115184464238136,0.09159732462965069,0.41919505614883007,-0.03179549238892432,,,0.5,*
GOOGL,"GARCH(1,1)-t",0.23350158108932773,0.18691466206320964,0.5039429862627676,-0.4483159587052177,4091.1876886497375,4115.645818134999,0.6,
GOOGL,"EGARCH(1,1)-t",0.2219690135067412,0.17476761114135483,0.48403948114480555,-0.30878518026727253,4079.433778866183,4103.891908351444,0.5,
GOOGL,"GJR-GARCH(1,1)-t",0.23414732783260642,0.1853041618571155,0.5037376894957902,-0.4563376476025456,4079.6348154383986,4108.984570820712,0.7,
GOOGL,HAR-RV,0.1975131187029038,0.13430738204718987,0.42323042853425724,-0.03627628110539849,,,0.5,*
HDFCBANK_NS,"GARCH(1,1)-t",0.19262167190604002,0.15140819770891686,0.6304852379270726,-0.4233027940592544,3505.940637437533,3530.32711779502,0.6,
HDFCBANK_NS,"EGARCH(1,1)-t",0.18840334769361994,0.14675154041013214,0.6251160085805676,-0.361646068660223,3498.531389863165,3522.917870220652,0.5,
